teamid,season,player_id,player,birth_date,height,leagueid,num,position,weight,age,exp,school,team_players
1610612737,1984,76283,Rickey Brown,1958-08-20,6.833333333333333,00,31,C,215,26,4,Mississippi State,18
1610612737,1984,156,Antoine Carr,1961-07-23,6.75,00,33,F,225,23,0,Wichita State,18
1610612737,1984,76471,Charlie Criss,1948-11-06,5.666666666666667,00,14,G,165,36,7,New Mexico State,18
1610612737,1984,76632,Jerry Eaves,1959-02-08,6.333333333333333,00,5,G,180,26,2,Louisville,18
1610612737,1984,76822,Mike Glenn,1955-09-10,6.166666666666667,00,34,G,175,29,7,Southern Illinois,18
1610612737,1984,76847,Stewart Granger,1961-10-27,6.25,00,20,G,190,23,1,Villanova,18
1610612737,1984,76968,Scott Hastings,1960-06-03,6.833333333333333,00,44,F,235,25,2,Arkansas,18
1610612737,1984,77144,Eddie Johnson,1955-02-24,6.166666666666667,00,3,G,180,30,7,Auburn,18
1610612737,1984,77377,Cliff Levingston,1961-01-04,6.666666666666667,00,53,F,210,24,2,Wichita State,18
1610612737,1984,77415,Sidney Lowe,1960-01-21,6,00,43,G,195,25,1,North Carolina State,18
1610612737,1985,174,John Battle,1962-11-09,6.166666666666667,00,12,G,175,23,0,Rutgers,15
1610612737,1985,156,Antoine Carr,1961-07-23,6.75,00,33,F,225,24,1,Wichita State,15
1610612737,1985,76384,Lorenzo Charles,1963-11-25,6.583333333333333,00,43,F,225,22,0,North Carolina State,15
1610612737,1985,76526,Johnny Davis,1955-10-21,6.166666666666667,00,16,G,170,30,9,Dayton,15
1610612737,1985,76968,Scott Hastings,1960-06-03,6.833333333333333,00,44,F,235,26,3,Arkansas,15
1610612737,1985,77144,Eddie Johnson,1955-02-24,6.166666666666667,00,3,G,180,31,8,Auburn,15
1610612737,1985,402,Jon Koncak,1963-05-17,7,00,32,C,250,23,0,Southern Methodist,15
1610612737,1985,77377,Cliff Levingston,1961-01-04,6.666666666666667,00,53,F,210,25,3,Wichita State,15
1610612737,1985,470,Doc Rivers,1961-10-13,6.333333333333333,00,25,G,185,24,2,Marquette,15
1610612737,1985,78014,Tree Rollins,1955-06-16,7.083333333333333,00,30,C,235,31,8,Clemson,15
1610612737,1986,174,John Battle,1962-11-09,6.166666666666667,00,12,G,175,24,1,Rutgers,14
1610612737,1986,156,Antoine Carr,1961-07-23,6.75,00,33,F,225,25,2,Wichita State,14
1610612737,1986,76968,Scott Hastings,1960-06-03,6.833333333333333,00,44,F,235,27,4,Arkansas,14
1610612737,1986,402,Jon Koncak,1963-05-17,7,00,32,C,250,24,1,Southern Methodist,14
1610612737,1986,77377,Cliff Levingston,1961-01-04,6.666666666666667,00,53,F,210,26,4,Wichita State,14
1610612737,1986,77530,Mike McGee,1959-07-29,6.416666666666667,00,40,F,190,27,5,Michigan,14
1610612737,1986,470,Doc Rivers,1961-10-13,6.333333333333333,00,25,G,185,25,3,Marquette,14
1610612737,1986,78014,Tree Rollins,1955-06-16,7.083333333333333,00,30,C,235,32,9,Clemson,14
1610612737,1986,892,Spud Webb,1963-07-13,5.583333333333333,00,4,G,133,23,1,North Carolina State,14
1610612737,1986,1122,Dominique Wilkins,1960-01-12,6.666666666666667,00,21,F,200,27,4,Georgia,14
1610612737,1987,174,John Battle,1962-11-09,6.166666666666667,00,12,G,175,25,2,Rutgers,14
1610612737,1987,156,Antoine Carr,1961-07-23,6.75,00,33,F,225,26,3,Wichita State,14
1610612737,1987,76968,Scott Hastings,1960-06-03,6.833333333333333,00,44,F,235,28,5,Arkansas,14
1610612737,1987,402,Jon Koncak,1963-05-17,7,00,32,C,250,25,2,Southern Methodist,14
1610612737,1987,77377,Cliff Levingston,1961-01-04,6.666666666666667,00,53,F,210,27,5,Wichita State,14
1610612737,1987,470,Doc Rivers,1961-10-13,6.333333333333333,00,25,G,185,26,4,Marquette,14
1610612737,1987,78014,Tree Rollins,1955-06-16,7.083333333333333,00,30,C,235,33,10,Clemson,14
1610612737,1987,78463,Chris Washburn,1965-05-13,6.916666666666667,00,50,C,225,23,1,North Carolina State,14
1610612737,1987,892,Spud Webb,1963-07-13,5.583333333333333,00,4,G,133,24,2,North Carolina State,14
1610612737,1987,941,Ennis Whatley,1962-08-11,6.25,00,1,G,177,25,4,Alabama,14
1610612737,1988,174,John Battle,1962-11-09,6.166666666666667,00,10,G,175,26,3,Rutgers,13
1610612737,1988,76231,Dudley Bradley,1957-03-19,6.5,00,22,G,195,32,8,North Carolina,13
1610612737,1988,156,Antoine Carr,1961-07-23,6.75,00,35,F,225,27,4,Wichita State,13
1610612737,1988,273,Duane Ferrell,1965-02-28,6.583333333333333,00,33,F,209,24,0,Georgia Tech,13
1610612737,1988,402,Jon Koncak,1963-05-17,7,00,32,C,250,26,3,Southern Methodist,13
1610612737,1988,77377,Cliff Levingston,1961-01-04,6.666666666666667,00,53,F,210,28,6,Wichita State,13
1610612737,1988,77449,Moses Malone,1955-03-23,6.833333333333333,00,2,C,215,34,12,NA,13
1610612737,1988,77456,Pace Mannion,1960-09-22,6.583333333333333,00,5,G,190,28,5,Utah,13
1610612737,1988,470,Doc Rivers,1961-10-13,6.333333333333333,00,25,G,185,27,5,Marquette,13
1610612737,1988,78310,Reggie Theus,1957-10-13,6.5,00,24,G,190,31,10,Nevada-Las Vegas,13
1610612737,1989,174,John Battle,1962-11-09,6.166666666666667,00,10,G,175,27,4,Rutgers,16
1610612737,1989,273,Duane Ferrell,1965-02-28,6.583333333333333,00,33,F,209,25,1,Georgia Tech,16
1610612737,1989,402,Jon Koncak,1963-05-17,7,00,32,C,250,27,4,Southern Methodist,16
1610612737,1989,77377,Cliff Levingston,1961-01-04,6.666666666666667,00,53,F,210,29,7,Wichita State,16
1610612737,1989,1381,John Long,1956-08-28,6.416666666666667,00,34,G,195,33,11,Detroit Mercy,16
1610612737,1989,77449,Moses Malone,1955-03-23,6.833333333333333,00,2,C,215,35,13,NA,16
1610612737,1989,77460,Roy Marble,1966-12-13,6.5,00,22,G,190,23,0,Iowa,16
1610612737,1989,77484,Wes Matthews,1959-08-24,6.083333333333333,00,1,G,170,30,8,Wisconsin,16
1610612737,1989,470,Doc Rivers,1961-10-13,6.333333333333333,00,25,G,185,28,6,Marquette,16
1610612737,1989,181,Kenny Smith,1965-03-08,6.25,00,31,G,170,25,2,North Carolina,16
1610612737,1990,174,John Battle,1962-11-09,6.166666666666667,00,10,G,175,28,5,Rutgers,13
1610612737,1990,273,Duane Ferrell,1965-02-28,6.583333333333333,00,33,F,209,26,2,Georgia Tech,13
1610612737,1990,402,Jon Koncak,1963-05-17,7,00,32,C,250,28,5,Southern Methodist,13
1610612737,1990,77370,Gary Leonard,1967-02-16,7.083333333333333,00,34,C,250,24,1,Missouri,13
1610612737,1990,77449,Moses Malone,1955-03-23,6.833333333333333,00,2,C,215,36,14,NA,13
1610612737,1990,77516,Tim McCormick,1962-03-10,6.916666666666667,00,40,C,240,29,6,Michigan,13
1610612737,1990,77626,Sidney Moncrief,1957-09-21,6.333333333333333,00,15,G,180,33,10,Arkansas,13
1610612737,1990,470,Doc Rivers,1961-10-13,6.333333333333333,00,25,G,185,29,7,Marquette,13
1610612737,1990,716,Rumeal Robinson,1966-11-13,6.166666666666667,00,22,G,195,24,0,Michigan,13
1610612737,1990,892,Spud Webb,1963-07-13,5.583333333333333,00,4,G,133,27,5,North Carolina State,13
1610612737,1991,278,Stacey Augmon,1968-08-01,6.666666666666667,00,2,G-F,213,23,0,Nevada-Las Vegas,15
1610612737,1991,76385,Maurice Cheeks,1956-09-08,6.083333333333333,00,10,G,180,35,13,West Texas A&M,15
1610612737,1991,273,Duane Ferrell,1965-02-28,6.583333333333333,00,33,F,209,27,3,Georgia Tech,15
1610612737,1991,76842,Paul Graham,1967-11-28,6.5,00,25,G,200,24,0,Ohio,15
1610612737,1991,402,Jon Koncak,1963-05-17,7,00,32,C,250,29,6,Southern Methodist,15
1610612737,1991,77370,Gary Leonard,1967-02-16,7.083333333333333,00,34,C,250,25,2,Missouri,15
1610612737,1991,77496,Travis Mays,1968-06-19,6.166666666666667,00,1,G,190,24,1,Texas,15
1610612737,1991,77628,Rodney Monroe,1968-04-16,6.25,00,12,G,185,24,0,North Carolina State,15
1610612737,1991,78656,Blair Rasmussen,1962-11-13,6.333333333333333,00,41,F,172,29,6,Oregon,15
1610612737,1991,716,Rumeal Robinson,1966-11-13,6.166666666666667,00,22,G,195,25,1,Michigan,15
1610612737,1992,278,Stacey Augmon,1968-08-01,6.666666666666667,00,2,G-F,213,24,1,Nevada-Las Vegas,14
1610612737,1992,302,Mookie Blaylock,1967-03-20,6,00,10,G,180,26,3,Oklahoma,14
1610612737,1992,76247,Randy Breuer,1960-10-11,7.25,00,45,C,230,32,9,Minnesota,14
1610612737,1992,273,Duane Ferrell,1965-02-28,6.583333333333333,00,33,F,209,28,4,Georgia Tech,14
1610612737,1992,323,Greg Foster,1968-10-03,6.916666666666667,00,44,C,240,24,2,Texas-El Paso,14
1610612737,1992,76842,Paul Graham,1967-11-28,6.5,00,25,G,200,25,1,Ohio,14
1610612737,1992,1667,Steve Henson,1968-02-02,5.916666666666667,00,12,G,177,25,2,Kansas State,14
1610612737,1992,228,Adam Keefe,1970-02-22,6.75,00,31,F,230,23,0,Stanford,14
1610612737,1992,402,Jon Koncak,1963-05-17,7,00,32,C,250,30,7,Southern Methodist,14
1610612737,1992,77496,Travis Mays,1968-06-19,6.166666666666667,00,1,G,190,25,2,Texas,14
1610612737,1993,278,Stacey Augmon,1968-08-01,6.666666666666667,00,2,G-F,213,25,2,Nevada-Las Vegas,14
1610612737,1993,76082,John Bagley,1960-04-23,6,00,5,G,185,34,10,Boston College,14
1610612737,1993,302,Mookie Blaylock,1967-03-20,6,00,10,G,180,27,4,Oklahoma,14
1610612737,1993,346,Doug Edwards,1971-01-21,6.583333333333333,00,34,F,220,23,0,Florida State,14
1610612737,1993,378,Craig Ehlo,1961-08-11,6.5,00,3,G,180,32,10,Washington State,14
1610612737,1993,273,Duane Ferrell,1965-02-28,6.583333333333333,00,33,F,209,29,5,Georgia Tech,14
1610612737,1993,76839,Ricky Grace,1967-08-20,6.083333333333333,00,15,G,180,26,0,Oklahoma,14
1610612737,1993,76842,Paul Graham,1967-11-28,6.5,00,25,G,200,26,2,Ohio,14
1610612737,1993,228,Adam Keefe,1970-02-22,6.75,00,31,F,230,24,1,Stanford,14
1610612737,1993,402,Jon Koncak,1963-05-17,7,00,32,C,250,31,8,Southern Methodist,14
